Primo 1,Primo 2,Producto,Tiempo (segundos)
3,5,15,1.0902788639068604
17,19,323,11.553287506103516
37,31,1147,23.149290084838867
47,43,2021,24.852627515792847
59,61,3599,31.757522583007812
73,79,5767,41.49470853805542
107,101,10807,57.28589916229248
127,131,16637,70.09623861312866
31,173,5363,40.6583571434021
571,487,278077,160.5235767364502
743,877,651611,197.13559865951538
1229,1163,1429327,226.88673067092896
1483,1553,2303099,276.9758734703064
1847,1787,3300589,282.7510361671448
2081,2153,4480393,309.80232429504395
2381,2531,6026311,321.79929089546204
2843,2887,8207741,318.61784267425537
3259,3187,10386433,372.70921897888184
3533,3547,12531551,367.38103461265564
3929,3943,15492047,382.30475521087646
4219,4289,18095291,436.511837720871
4493,4523,20321839,453.121298789978
4751,4729,22467479,429.2046608924866
5081,5077,25796237,444.78364753723145
5297,5387,28534939,463.4600577354431
5749,5653,32499097,452.4983534812927
6053,5861,35476633,532.9885783195496
6197,6217,38526749,528.5077922344208
6569,6563,43112347,512.1994411945343
6959,6803,47342077,509.4539921283722
7043,7129,50209547,534.662024974823
7499,7411,55575089,525.6700611114502
7759,7681,59596879,522.2000987529755
