N,Tiempo (segundos),Primo1,Primo2,Algoritmo
221,0.000102996826171875,17,13,Fuerza Bruta
899,0.00013518333435058594,31,29,Fuerza Bruta
1763,0.0001678466796875,43,41,Fuerza Bruta
3599,0.0003399848937988281,61,59,Fuerza Bruta
5609,0.00034999847412109375,79,71,Fuerza Bruta
38021,0.004422903060913086,197,193,Fuerza Bruta
97343,0.008269071578979492,313,311,Fuerza Bruta
89077,0.0009076595306396484,317,281,Fuerza Bruta
3378077,0.4584846496582031,1901,1777,Fuerza Bruta
14047063,1.5558199882507324,3769,3727,Fuerza Bruta
32546881,2.766975164413452,5717,5693,Fuerza Bruta
54075289,3.3344016075134277,7499,7211,Fuerza Bruta
88469587,5.376153469085693,9463,9349,Fuerza Bruta
127372571,6.278609037399292,11321,11251,Fuerza Bruta
164424973,6.287523984909058,12889,12757,Fuerza Bruta
212337467,8.113595247268677,14827,14321,Fuerza Bruta
259242101,8.275271654129028,16111,16091,Fuerza Bruta
301402721,7.842962026596069,17401,17321,Fuerza Bruta
361367779,10.741972208023071,19121,18899,Fuerza Bruta
430104751,12.433451175689697,20947,20533,Fuerza Bruta
471431869,8.731375455856323,21863,21563,Fuerza Bruta
543990751,13.995041370391846,23459,23189,Fuerza Bruta
616329187,14.36351203918457,24859,24793,Fuerza Bruta
677950219,13.18984580039978,26203,25873,Fuerza Bruta
756022447,16.054118633270264,27583,27409,Fuerza Bruta
849938027,18.973422527313232,29287,29021,Fuerza Bruta
960669289,22.157766103744507,31139,30851,Fuerza Bruta
1073084539,23.07707715034485,32803,32713,Fuerza Bruta
1149536029,18.412338972091675,34019,33791,Fuerza Bruta
1220242223,17.95676612854004,34981,34883,Fuerza Bruta
1341095141,26.389872312545776,36671,36571,Fuerza Bruta
1464136987,27.557769060134888,38653,37879,Fuerza Bruta
1550264167,22.370439529418945,39829,38923,Fuerza Bruta
1706156693,33.970592975616455,41641,40973,Fuerza Bruta
1781332747,21.91209578514099,42323,42089,Fuerza Bruta
1908192389,30.580565690994263,43793,43573,Fuerza Bruta
2031520573,30.806310653686523,45307,44839,Fuerza Bruta
2151653771,30.926541566848755,46471,46301,Fuerza Bruta
2254349959,28.876543045043945,47501,47459,Fuerza Bruta
2390671741,51.33069038391113,49117,48673,Fuerza Bruta
2500802737,49.002503633499146,50321,49697,Fuerza Bruta
2668715999,49.067872285842896,51859,51461,Fuerza Bruta
2803365209,50.058780908584595,53087,52807,Fuerza Bruta
2939693479,46.235949993133545,54559,53881,Fuerza Bruta
3178817017,54.51296281814575,56393,56369,Fuerza Bruta
3319254853,39.93394231796265,57667,57559,Fuerza Bruta
3483114197,45.308616638183594,59377,58661,Fuerza Bruta
