N,Tiempo (segundos),Primo1,Primo2,Algoritmo
143,0.0,13,11,Fuerza Bruta
899,0.0,31,29,Fuerza Bruta
2021,0.0009987354278564453,47,43,Fuerza Bruta
3953,0.0,67,59,Fuerza Bruta
6557,0.0009989738464355469,83,79,Fuerza Bruta
38021,0.006999492645263672,197,193,Fuerza Bruta
98587,0.0169980525970459,317,311,Fuerza Bruta
12359,0.0,727,17,Fuerza Bruta
2768999,0.7672848701477051,1783,1553,Fuerza Bruta
11102489,2.6192290782928467,3413,3253,Fuerza Bruta
22286941,3.789830207824707,4751,4691,Fuerza Bruta
38861617,5.355029582977295,6491,5987,Fuerza Bruta
65996263,8.852607727050781,8389,7867,Fuerza Bruta
82589719,5.800098896026611,9133,9043,Fuerza Bruta
113209867,10.62182903289795,11003,10289,Fuerza Bruta
131592143,7.438815593719482,11593,11351,Fuerza Bruta
