N,Tiempo (segundos),Primo1,Primo2,Algoritmo
143,0.0,13,11,GNFS
899,0.0,31,29,GNFS
2021,0.0,47,43,GNFS
3953,0.0,67,59,GNFS
6557,0.0,83,79,GNFS
38021,0.0009639263153076172,197,193,GNFS
98587,0.0,317,311,GNFS
12359,0.0,727,17,GNFS
2768999,0.001003265380859375,1783,1553,GNFS
11102489,0.0,3413,3253,GNFS
22286941,0.0,4751,4691,GNFS
38861617,0.0009989738464355469,6491,5987,GNFS
65996263,0.0010001659393310547,7867,8389,GNFS
82589719,0.0,9133,9043,GNFS
113209867,0.0009996891021728516,11003,10289,GNFS
131592143,0.0,11593,11351,GNFS
