N,Tiempo (segundos),Primo1,Primo2,Algoritmo
221,1.0251998901367188e-05,17,13,GNFS
899,8.821487426757812e-06,31,29,GNFS
1763,9.059906005859375e-06,43,41,GNFS
3599,9.775161743164062e-06,61,59,GNFS
5609,1.0728836059570312e-05,79,71,GNFS
38021,1.4066696166992188e-05,197,193,GNFS
97343,1.8596649169921875e-05,313,311,GNFS
89077,1.6927719116210938e-05,317,281,GNFS
3378077,7.963180541992188e-05,1901,1777,GNFS
14047063,0.00013446807861328125,3769,3727,GNFS
32546881,0.00010514259338378906,5717,5693,GNFS
54075289,0.00010848045349121094,7499,7211,GNFS
88469587,0.00010466575622558594,9463,9349,GNFS
127372571,0.00010657310485839844,11321,11251,GNFS
164424973,0.00010991096496582031,12889,12757,GNFS
212337467,0.00011014938354492188,14827,14321,GNFS
259242101,0.00010895729064941406,16111,16091,GNFS
301402721,0.00010919570922851562,17401,17321,GNFS
361367779,0.00011038780212402344,19121,18899,GNFS
430104751,0.00011467933654785156,20947,20533,GNFS
471431869,0.00011134147644042969,21863,21563,GNFS
543990751,0.00011157989501953125,23459,23189,GNFS
616329187,0.0001201629638671875,24859,24793,GNFS
677950219,0.00011014938354492188,26203,25873,GNFS
756022447,0.00011181831359863281,27583,27409,GNFS
849938027,0.00011277198791503906,29287,29021,GNFS
960669289,0.00011205673217773438,31139,30851,GNFS
1073084539,0.00011277198791503906,32803,32713,GNFS
1149536029,0.00013947486877441406,34019,33791,GNFS
1220242223,0.0001289844512939453,34981,34883,GNFS
1341095141,0.0001289844512939453,36671,36571,GNFS
1464136987,0.00013136863708496094,38653,37879,GNFS
1550264167,0.00014209747314453125,39829,38923,GNFS
1706156693,0.00014710426330566406,41641,40973,GNFS
1781332747,0.0001800060272216797,42323,42089,GNFS
1908192389,0.00013327598571777344,43793,43573,GNFS
2031520573,0.00013065338134765625,45307,44839,GNFS
2151653771,0.0001475811004638672,46471,46301,GNFS
2254349959,0.02379751205444336,47501,47459,GNFS
2390671741,0.02808213233947754,49117,48673,GNFS
2500802737,0.024331092834472656,50321,49697,GNFS
2668715999,0.0001308917999267578,51859,51461,GNFS
2803365209,0.023136377334594727,53087,52807,GNFS
2939693479,0.0036423206329345703,54559,53881,GNFS
3178817017,0.00013494491577148438,56393,56369,GNFS
3319254853,0.000171661376953125,57667,57559,GNFS
3483114197,0.0001327991485595703,59377,58661,GNFS
