N,Tiempo (segundos),Primo1,Primo2,Algoritmo
143,0.0,13,11,Fuerza Bruta
143,0.00014121532440185546,11,13,Shor clasico
143,0.0,13,11,GNFS
899,0.0,31,29,Fuerza Bruta
899,0.00030007362365722654,29,31,Shor clasico
899,0.0,31,29,GNFS
2021,0.0009987354278564453,47,43,Fuerza Bruta
2021,0.00039997100830078123,43,47,Shor clasico
2021,0.0,47,43,GNFS
3953,0.0,67,59,Fuerza Bruta
3953,0.0015997886657714844,59,67,Shor clasico
3953,0.0,67,59,GNFS
6557,0.0009989738464355469,83,79,Fuerza Bruta
6557,0.00280153751373291,79,83,Shor clasico
6557,0.0,83,79,GNFS
38021,0.006999492645263672,197,193,Fuerza Bruta
38021,0.005560851097106934,197,193,Shor clasico
38021,0.0009639263153076172,197,193,GNFS
98587,0.0169980525970459,317,311,Fuerza Bruta
98587,0.0460895299911499,311,317,Shor clasico
98587,0.0,317,311,GNFS
12359,0.0,727,17,Fuerza Bruta
12359,0.0021047592163085938,727,17,Shor clasico
12359,0.0,727,17,GNFS
2768999,0.7672848701477051,1783,1553,Fuerza Bruta
2768999,0.9458062171936035,1783,1553,Shor clasico
2768999,0.001003265380859375,1783,1553,GNFS
11102489,2.6192290782928467,3413,3253,Fuerza Bruta
11102489,3.983555006980896,3253,3413,Shor clasico
11102489,0.0,3413,3253,GNFS
22286941,3.789830207824707,4751,4691,Fuerza Bruta
22286941,2.8827929973602293,4691,4751,Shor clasico
22286941,0.0,4751,4691,GNFS
38861617,5.355029582977295,6491,5987,Fuerza Bruta
38861617,53.73229601383209,6491,5987,Shor clasico
38861617,0.0009989738464355469,6491,5987,GNFS
65996263,8.852607727050781,8389,7867,Fuerza Bruta
65996263,4.269111323356628,7867,8389,Shor clasico
65996263,0.0010001659393310547,7867,8389,GNFS
82589719,5.800098896026611,9133,9043,Fuerza Bruta
82589719,18.41520071029663,9043,9133,Shor clasico
82589719,0.0,9133,9043,GNFS
113209867,10.62182903289795,11003,10289,Fuerza Bruta
113209867,153.2776099920273,11003,10289,Shor clasico
113209867,0.0009996891021728516,11003,10289,GNFS
131592143,7.438815593719482,11593,11351,Fuerza Bruta
131592143,37.11618700027466,11351,11593,Shor clasico
131592143,0.0,11593,11351,GNFS
