N,Tiempo (segundos),Primo1,Primo2,Algoritmo
43621,0.009391307830810547,241,181,Fuerza Bruta
43621,0.0,181,241,Shor Clasico
43621,0.0,181,241,Shor Clasico
43621,0.0,181,241,Shor Clasico
43621,0.0,241,181,Shor Clasico
43621,0.0,181,241,Shor Clasico
43621,0.0,181,241,Shor Clasico
43621,0.0,181,241,Shor Clasico
43621,0.0,181,241,Shor Clasico
43621,0.0,241,181,Shor Clasico
43621,0.0010080337524414062,181,241,Shor Clasico
43621,0.0,241,181,GNFS
1653787,0.7480330467224121,1289,1283,Fuerza Bruta
1653787,1.8806884288787842,1283,1289,Shor Clasico
1653787,1.7697639465332031,1283,1289,Shor Clasico
1653787,1.5832610130310059,1283,1289,Shor Clasico
1653787,0.4396650791168213,1283,1289,Shor Clasico
1653787,0.7102248668670654,1283,1289,Shor Clasico
1653787,1.3123948574066162,1283,1289,Shor Clasico
1653787,0.2937202453613281,1289,1283,Shor Clasico
1653787,1.384713888168335,1283,1289,Shor Clasico
1653787,1.4424676895141602,1283,1289,Shor Clasico
1653787,0.09121894836425781,1283,1289,Shor Clasico
1653787,0.0,1289,1283,GNFS
5787611,1.5228445529937744,2441,2371,Fuerza Bruta
5787611,0.16791200637817383,2371,2441,Shor Clasico
5787611,0.051372528076171875,2371,2441,Shor Clasico
5787611,0.928438663482666,2371,2441,Shor Clasico
5787611,0.038797616958618164,2441,2371,Shor Clasico
5787611,0.9785668849945068,2371,2441,Shor Clasico
5787611,0.24540495872497559,2441,2371,Shor Clasico
5787611,0.8512458801269531,2371,2441,Shor Clasico
5787611,0.13788652420043945,2371,2441,Shor Clasico
5787611,0.11973690986633301,2371,2441,Shor Clasico
5787611,0.06694245338439941,2371,2441,Shor Clasico
5787611,0.0,2441,2371,GNFS
12453697,2.34006929397583,3541,3517,Fuerza Bruta
12453697,1.7318668365478516,3517,3541,Shor Clasico
12453697,0.5262327194213867,3541,3517,Shor Clasico
12453697,2.964437246322632,3517,3541,Shor Clasico
12453697,0.13583612442016602,3517,3541,Shor Clasico
12453697,2.812173843383789,3541,3517,Shor Clasico
12453697,1.6783051490783691,3541,3517,Shor Clasico
12453697,3.3385753631591797,3541,3517,Shor Clasico
12453697,2.479431629180908,3541,3517,Shor Clasico
12453697,0.7894892692565918,3517,3541,Shor Clasico
12453697,1.925414800643921,3517,3541,Shor Clasico
12453697,0.0,3541,3517,GNFS
21455303,3.3050074577331543,4643,4621,Fuerza Bruta
21455303,0.13641571998596191,4643,4621,Shor Clasico
21455303,1.4789202213287354,4643,4621,Shor Clasico
21455303,0.21692156791687012,4643,4621,Shor Clasico
21455303,0.19101977348327637,4643,4621,Shor Clasico
21455303,1.4264442920684814,4643,4621,Shor Clasico
21455303,1.5205683708190918,4643,4621,Shor Clasico
21455303,0.4428577423095703,4643,4621,Shor Clasico
21455303,1.4047338962554932,4621,4643,Shor Clasico
21455303,0.48204565048217773,4643,4621,Shor Clasico
21455303,0.23055815696716309,4643,4621,Shor Clasico
21455303,0.0,4643,4621,GNFS
31911137,4.044368743896484,5657,5641,Fuerza Bruta
31911137,0.011964559555053711,5657,5641,Shor Clasico
31911137,0.11830735206604004,5657,5641,Shor Clasico
31911137,6.151435852050781,5657,5641,Shor Clasico
31911137,3.959028482437134,5657,5641,Shor Clasico
31911137,7.114694356918335,5657,5641,Shor Clasico
31911137,7.446522235870361,5641,5657,Shor Clasico
31911137,0.02942347526550293,5641,5657,Shor Clasico
31911137,14.118765115737915,5641,5657,Shor Clasico
31911137,3.487149238586426,5641,5657,Shor Clasico
31911137,7.096017837524414,5641,5657,Shor Clasico
31911137,0.0,5657,5641,GNFS
46036189,5.292070627212524,6791,6779,Fuerza Bruta
46036189,88.14221954345703,6791,6779,Shor Clasico
46036189,52.76063942909241,6791,6779,Shor Clasico
46036189,8.276785373687744,6779,6791,Shor Clasico
46036189,46.50788998603821,6779,6791,Shor Clasico
46036189,53.92546844482422,6779,6791,Shor Clasico
46036189,49.120264291763306,6791,6779,Shor Clasico
46036189,47.21226692199707,6791,6779,Shor Clasico
46036189,94.65709590911865,6779,6791,Shor Clasico
46036189,56.80648946762085,6779,6791,Shor Clasico
46036189,160.62662768363953,6779,6791,Shor Clasico
46036189,0.0,6791,6779,GNFS
63122701,6.523658514022827,7963,7927,Fuerza Bruta
63122701,20.164867877960205,7963,7927,Shor Clasico
63122701,39.136282205581665,7963,7927,Shor Clasico
63122701,20.292550086975098,7927,7963,Shor Clasico
63122701,25.966054439544678,7927,7963,Shor Clasico
63122701,20.31895160675049,7927,7963,Shor Clasico
63122701,51.47052884101868,7927,7963,Shor Clasico
63122701,20.145180463790894,7927,7963,Shor Clasico
63122701,21.844747066497803,7963,7927,Shor Clasico
63122701,30.350104570388794,7963,7927,Shor Clasico
63122701,106.1824700832367,7963,7927,Shor Clasico
63122701,0.0,7963,7927,GNFS
82183331,8.609232664108276,9161,8971,Fuerza Bruta
82183331,2.9357359409332275,8971,9161,Shor Clasico
82183331,2.3321914672851562,8971,9161,Shor Clasico
82183331,7.485642671585083,8971,9161,Shor Clasico
82183331,2.897294759750366,8971,9161,Shor Clasico
82183331,16.014414310455322,8971,9161,Shor Clasico
82183331,7.409250736236572,8971,9161,Shor Clasico
82183331,7.922747850418091,8971,9161,Shor Clasico
82183331,8.135130643844604,8971,9161,Shor Clasico
82183331,2.5303256511688232,8971,9161,Shor Clasico
82183331,18.42001509666443,8971,9161,Shor Clasico
82183331,0.0,9161,8971,GNFS
