N,Tiempo (segundos),Primo1,Primo2,Algoritmo
53387,0.01451253890991211,271,197,Fuerza Bruta
53387,0.022765803337097167,197,271,Shor clasico
53387,0.0,271,197,GNFS
1676989,0.6162362098693848,1301,1289,Fuerza Bruta
1676989,0.3360245704650879,1301,1289,Shor clasico
1676989,0.0,1301,1289,GNFS
5596867,1.3278834819793701,2399,2333,Fuerza Bruta
5596867,0.31785595417022705,2399,2333,Shor clasico
5596867,0.0,2399,2333,GNFS
12445943,2.2936642169952393,3557,3499,Fuerza Bruta
12445943,6.711947822570801,3499,3557,Shor clasico
12445943,0.0009660720825195312,3557,3499,GNFS
21734123,3.0814788341522217,4673,4651,Fuerza Bruta
21734123,7.169876837730408,4651,4673,Shor clasico
21734123,0.0,4673,4651,GNFS
32216687,3.7828543186187744,5693,5659,Fuerza Bruta
32216687,45.78807816505432,5659,5693,Shor clasico
32216687,0.0,5693,5659,GNFS
46197913,5.585902214050293,6833,6761,Fuerza Bruta
46197913,7.31069769859314,6833,6761,Shor clasico
46197913,0.0012886524200439453,6833,6761,GNFS
63598861,6.6116578578948975,8017,7933,Fuerza Bruta
63598861,4.962604928016662,7933,8017,Shor clasico
63598861,0.0,8017,7933,GNFS
83629729,7.409113645553589,9181,9109,Fuerza Bruta
83629729,3.904842233657837,9181,9109,Shor clasico
83629729,0.0,9181,9109,GNFS
143,0.0,13,11,Fuerza Bruta
143,0.00014121532440185546,11,13,Shor clasico
143,0.0,13,11,GNFS
899,0.0,31,29,Fuerza Bruta
899,0.00030007362365722654,29,31,Shor clasico
899,0.0,31,29,GNFS
2021,0.0009987354278564453,47,43,Fuerza Bruta
2021,0.00039997100830078123,43,47,Shor clasico
2021,0.0,47,43,GNFS
3953,0.0,67,59,Fuerza Bruta
3953,0.0015997886657714844,59,67,Shor clasico
3953,0.0,67,59,GNFS
6557,0.0009989738464355469,83,79,Fuerza Bruta
6557,0.00280153751373291,79,83,Shor clasico
6557,0.0,83,79,GNFS
38021,0.006999492645263672,197,193,Fuerza Bruta
38021,0.005560851097106934,197,193,Shor clasico
38021,0.0009639263153076172,197,193,GNFS
98587,0.0169980525970459,317,311,Fuerza Bruta
98587,0.0460895299911499,311,317,Shor clasico
98587,0.0,317,311,GNFS
12359,0.0,727,17,Fuerza Bruta
12359,0.0021047592163085938,727,17,Shor clasico
12359,0.0,727,17,GNFS
2768999,0.7672848701477051,1783,1553,Fuerza Bruta
2768999,0.9458062171936035,1783,1553,Shor clasico
2768999,0.001003265380859375,1783,1553,GNFS
11102489,2.6192290782928467,3413,3253,Fuerza Bruta
11102489,3.983555006980896,3253,3413,Shor clasico
11102489,0.0,3413,3253,GNFS
22286941,3.789830207824707,4751,4691,Fuerza Bruta
22286941,2.8827929973602293,4691,4751,Shor clasico
22286941,0.0,4751,4691,GNFS
38861617,5.355029582977295,6491,5987,Fuerza Bruta
38861617,53.73229601383209,6491,5987,Shor clasico
38861617,0.0009989738464355469,6491,5987,GNFS
65996263,8.852607727050781,8389,7867,Fuerza Bruta
65996263,4.269111323356628,7867,8389,Shor clasico
65996263,0.0010001659393310547,7867,8389,GNFS
82589719,5.800098896026611,9133,9043,Fuerza Bruta
82589719,18.41520071029663,9043,9133,Shor clasico
82589719,0.0,9133,9043,GNFS
113209867,10.62182903289795,11003,10289,Fuerza Bruta
113209867,153.2776099920273,11003,10289,Shor clasico
113209867,0.0009996891021728516,11003,10289,GNFS
131592143,7.438815593719482,11593,11351,Fuerza Bruta
131592143,37.11618700027466,11351,11593,Shor clasico
131592143,0.0,11593,11351,GNFS
