N,Tiempo (segundos),Primo1,Primo2,Algoritmo
143,0.00014121532440185546,11,13,Shor clasico
899,0.00030007362365722654,29,31,Shor clasico
2021,0.00039997100830078123,43,47,Shor clasico
3953,0.0015997886657714844,59,67,Shor clasico
6557,0.00280153751373291,79,83,Shor clasico
38021,0.005560851097106934,197,193,Shor clasico
98587,0.0460895299911499,311,317,Shor clasico
12359,0.0021047592163085938,727,17,Shor clasico
2768999,0.9458062171936035,1783,1553,Shor clasico
11102489,3.983555006980896,3253,3413,Shor clasico
22286941,2.8827929973602293,4691,4751,Shor clasico
38861617,53.73229601383209,6491,5987,Shor clasico
65996263,4.269111323356628,7867,8389,Shor clasico
82589719,18.41520071029663,9043,9133,Shor clasico
113209867,153.2776099920273,11003,10289,Shor clasico
131592143,37.11618700027466,11351,11593,Shor clasico
