N,Tiempo (segundos),Primo1,Primo2,Algoritmo
221,1.6427040100097658e-05,13,17,Shor clasico
899,0.00016777515411376954,31,29,Shor clasico
1763,0.0002896547317504883,43,41,Shor clasico
3599,0.000663590431213379,59,61,Shor clasico
5609,0.0016114950180053712,71,79,Shor clasico
38021,0.0037988662719726563,197,193,Shor clasico
97343,0.01430366039276123,311,313,Shor clasico
89077,0.012343835830688477,317,281,Shor clasico
3378077,0.3426421880722046,1901,1777,Shor clasico
14047063,0.9820190906524658,3727,3769,Shor clasico
32546881,47.1570065498352,5693,5717,Shor clasico
54075289,34.70743906497955,7499,7211,Shor clasico
88469587,1.0121448040008545,9463,9349,Shor clasico
127372571,8.615392351150513,11251,11321,Shor clasico
164424973,8.261526441574096,12757,12889,Shor clasico
212337467,49.8607259273529,14827,14321,Shor clasico
259242101,61.67662537097931,16111,16091,Shor clasico
301402721,9.511446475982666,17401,17321,Shor clasico
361367779,170.70473041534424,18899,19121,Shor clasico
430104751,173.8076728105545,20947,20533,Shor clasico
471431869,3837.4563905000687,21863,21563,Shor clasico
543990751,643.5246685504914,23459,23189,Shor clasico
616329187,74.46379630565643,24859,24793,Shor clasico
677950219,8.434507894515992,26203,25873,Shor clasico
756022447,231.82477703094483,27583,27409,Shor clasico
849938027,639.5152257204056,29287,29021,Shor clasico
960669289,3759.2042675733564,30851,31139,Shor clasico
1073084539,205.1623761177063,32803,32713,Shor clasico
1149536029,1604.485001373291,33791,34019,Shor clasico
1220242223,537.6552195549011,34883,34981,Shor clasico
1341095141,505.5821439027786,36571,36671,Shor clasico
1464136987,2728.2939287424088,38653,37879,Shor clasico
1550264167,1483.468319129944,38923,39829,Shor clasico
1706156693,846.5467893362045,40973,41641,Shor clasico
1781332747,5596.759598422051,42323,42089,Shor clasico
1908192389,735.8260628223419,43573,43793,Shor clasico
2031520573,362.0626807689667,45307,44839,Shor clasico
2151653771,419.61387610435486,46471,46301,Shor clasico
2254349959,6209.048579668999,47459,47501,Shor clasico
2390671741,294.9920133590698,49117,48673,Shor clasico
2500802737,316.092835688591,50321,49697,Shor clasico
2668715999,809.187493610382,51461,51859,Shor clasico
2803365209,4219.294587564468,53087,52807,Shor clasico
2939693479,552.238201212883,54559,53881,Shor clasico
3178817017,2360.3560325145722,56393,56369,Shor clasico
3319254853,4460.523198008537,57559,57667,Shor clasico
3483114197,621.3252734899521,58661,59377,Shor clasico
